ID,0,1,2,3,4,5,6,7,8,9,target
164,11,2,2,2,2,0,4,4,13,2,NO_FAILURE
165,10,2,3,3,2,0,5,3,12,4,NO_FAILURE
166,10,2,3,2,2,0,4,3,11,3,NO_FAILURE
167,6,1,3,1,2,0,2,2,7,2,NO_FAILURE
168,7,1,1,1,2,0,3,3,11,2,NO_FAILURE
169,11,2,3,2,2,0,3,2,12,3,NO_FAILURE
170,7,1,1,1,2,0,5,2,6,3,NO_FAILURE
171,2,1,4,1,2,0,3,2,4,6,NO_FAILURE
172,3,0,0,2,2,0,1,10,6,2,NO_FAILURE
173,1,1,2,2,2,0,4,8,11,2,NO_FAILURE
174,3,1,1,2,2,0,5,9,7,3,NO_FAILURE
175,2,1,4,1,2,0,2,7,8,3,NO_FAILURE
176,5,2,2,2,2,0,5,5,17,3,NO_FAILURE
177,5,2,3,4,2,0,5,4,20,4,NO_FAILURE
178,5,2,2,2,2,0,5,3,19,3,NO_FAILURE
179,2,1,1,2,2,0,4,4,15,2,NO_FAILURE
180,11,2,1,3,2,0,6,3,13,4,NO_FAILURE
181,9,2,1,3,2,0,6,3,10,2,NO_FAILURE
182,9,2,3,3,2,0,2,2,11,2,NO_FAILURE
183,0,0,0,2,2,0,3,3,5,6,NO_FAILURE
184,8,2,1,3,2,0,6,3,11,3,NO_FAILURE
185,10,2,1,3,2,0,6,3,12,2,NO_FAILURE
186,8,1,2,3,2,0,3,3,12,2,NO_FAILURE
187,9,1,3,2,2,0,3,3,7,3,NO_FAILURE
188,11,1,1,1,2,0,2,3,8,2,NO_FAILURE
189,8,1,1,1,2,0,2,3,9,2,NO_FAILURE
190,2,1,1,1,2,0,3,3,14,2,NO_FAILURE
191,2,1,1,3,2,0,4,3,16,3,NO_FAILURE
192,4,2,3,3,2,0,3,3,18,4,NO_FAILURE
193,2,0,0,1,2,0,2,4,4,6,NO_FAILURE
194,3,1,1,3,2,0,5,4,15,3,NO_FAILURE
195,1,0,0,1,2,0,2,2,6,2,NO_FAILURE
196,0,0,0,2,2,0,3,3,10,2,NO_FAILURE
197,4,2,2,3,2,7,3,4,13,3,NO_FAILURE
198,4,2,3,3,2,7,4,3,12,3,NO_FAILURE
199,5,2,3,2,2,6,1,3,12,3,NO_FAILURE
200,2,2,4,4,2,7,5,2,12,4,NO_FAILURE
201,4,2,3,2,2,7,4,3,12,2,NO_FAILURE
202,2,0,0,2,2,0,2,2,5,7,NO_FAILURE
203,3,1,2,4,2,6,4,3,10,3,NO_FAILURE
204,6,2,2,2,2,7,4,4,13,2,NO_FAILURE
205,5,2,3,2,2,6,4,3,9,3,NO_FAILURE
206,2,2,4,3,2,8,4,3,12,2,NO_FAILURE
207,4,2,2,3,2,6,6,2,10,3,NO_FAILURE
208,4,2,4,3,2,7,4,3,15,3,NO_FAILURE
209,3,1,1,3,2,6,4,3,9,2,NO_FAILURE
210,3,2,3,3,2,7,5,3,10,4,NO_FAILURE
211,3,2,5,3,2,7,4,2,12,3,NO_FAILURE
212,2,2,3,3,2,7,5,2,13,3,NO_FAILURE
213,4,2,3,3,2,6,4,3,12,3,NO_FAILURE
214,3,2,4,3,2,6,4,3,10,4,NO_FAILURE
215,4,2,4,3,2,5,5,2,11,4,NO_FAILURE
216,3,2,3,2,2,7,5,3,10,3,NO_FAILURE
217,4,2,6,3,2,6,4,2,9,4,NO_FAILURE
218,2,2,2,2,2,6,3,4,12,4,NO_FAILURE
219,4,2,4,3,2,8,3,3,11,4,NO_FAILURE
220,4,2,6,3,2,5,4,2,9,4,NO_FAILURE
221,2,2,4,3,2,0,4,10,12,3,NO_FAILURE
222,5,2,2,3,2,0,2,9,13,3,NO_FAILURE
223,4,2,2,2,2,0,3,10,11,3,NO_FAILURE
224,4,2,2,2,2,0,4,10,10,3,NO_FAILURE
225,6,2,2,2,2,0,3,10,12,3,NO_FAILURE
226,7,2,2,3,2,0,2,11,12,3,NO_FAILURE
227,3,2,3,2,2,0,4,10,11,3,NO_FAILURE
228,5,2,2,3,2,0,5,10,11,3,NO_FAILURE
229,4,2,2,2,2,0,3,11,12,3,NO_FAILURE
230,2,2,5,3,2,0,4,11,12,3,NO_FAILURE
231,4,2,2,3,2,0,4,11,13,2,NO_FAILURE
232,3,2,5,3,2,0,4,10,11,3,NO_FAILURE
233,10,2,2,3,2,0,3,3,13,3,NO_FAILURE
234,4,2,2,3,2,0,3,10,14,2,NO_FAILURE
235,4,2,5,3,2,0,4,11,11,3,NO_FAILURE
236,3,2,5,3,2,0,4,8,10,3,NO_FAILURE
237,3,2,3,2,2,0,4,8,12,4,NO_FAILURE
238,3,2,3,2,2,0,4,10,10,4,NO_FAILURE
239,3,2,2,2,2,0,6,10,10,3,NO_FAILURE
240,1,1,3,3,2,0,4,7,9,3,NO_FAILURE
241,2,1,3,2,2,0,3,7,7,3,NO_FAILURE
242,2,1,2,1,2,0,4,3,9,6,NO_FAILURE
243,3,1,3,1,2,0,2,3,7,7,NO_FAILURE
244,2,1,3,3,2,0,3,2,9,7,NO_FAILURE
245,3,1,1,3,2,0,4,2,8,8,NO_FAILURE
246,2,1,2,2,2,0,3,2,8,6,NO_FAILURE
247,2,1,1,2,2,0,4,4,13,2,NO_FAILURE
248,2,1,1,1,2,0,3,3,14,2,NO_FAILURE
249,1,1,1,2,2,0,2,4,17,2,NO_FAILURE
250,1,1,1,1,2,0,4,4,12,2,NO_FAILURE
251,2,1,1,2,2,0,2,4,16,2,NO_FAILURE
252,1,1,1,2,2,0,5,3,14,3,NO_FAILURE
253,2,1,1,1,2,0,3,3,12,3,NO_FAILURE
254,9,2,2,3,2,0,5,3,9,2,NO_FAILURE
255,10,2,3,3,2,0,4,2,12,3,NO_FAILURE
256,8,2,2,4,2,0,5,3,10,2,NO_FAILURE
257,11,2,4,2,2,0,4,3,8,2,NO_FAILURE
258,10,2,3,3,2,0,2,3,12,3,NO_FAILURE
259,12,2,3,3,2,0,3,2,10,3,NO_FAILURE
260,10,2,3,3,2,0,5,3,10,3,NO_FAILURE
261,11,2,3,3,2,0,2,3,10,2,NO_FAILURE
262,8,1,1,2,2,0,5,2,10,2,NO_FAILURE
263,8,1,1,2,2,0,2,4,10,3,NO_FAILURE
264,6,1,0,3,2,0,5,2,11,2,NO_FAILURE
265,8,2,2,3,2,0,4,3,12,3,NO_FAILURE
266,8,1,3,3,2,0,4,2,8,2,NO_FAILURE
267,6,1,3,3,2,0,4,2,10,3,NO_FAILURE
268,9,2,2,3,2,0,5,2,14,3,NO_FAILURE
269,7,1,1,3,2,0,3,3,11,2,NO_FAILURE
270,10,1,0,3,2,0,3,2,12,2,NO_FAILURE
271,7,2,3,3,2,0,4,2,13,3,NO_FAILURE
272,6,1,2,2,2,0,4,2,10,3,NO_FAILURE
273,9,2,4,3,2,0,4,3,10,4,NO_FAILURE
274,8,1,1,4,2,0,4,2,11,2,NO_FAILURE
275,13,2,2,3,2,0,2,4,12,3,NO_FAILURE
276,3,2,2,2,2,0,5,12,13,2,NO_FAILURE
277,3,1,1,1,2,0,4,2,6,7,NO_FAILURE
278,4,2,4,3,2,0,4,9,12,4,NO_FAILURE
279,6,2,4,2,2,0,3,8,9,3,NO_FAILURE
280,3,2,3,2,2,0,4,9,11,3,NO_FAILURE
281,6,2,2,2,2,0,5,11,12,4,NO_FAILURE
282,3,2,2,2,2,0,4,11,12,2,NO_FAILURE
283,4,2,3,4,2,0,4,9,12,3,NO_FAILURE
284,4,2,6,4,2,0,3,7,11,4,NO_FAILURE
285,3,2,4,2,2,0,3,10,12,4,NO_FAILURE
286,4,2,2,3,2,0,5,12,12,2,NO_FAILURE
287,3,2,4,4,2,0,5,9,13,4,NO_FAILURE
288,10,2,4,4,2,0,5,2,11,3,NO_FAILURE
289,3,1,1,1,2,0,4,9,8,2,NO_FAILURE
290,5,2,5,4,2,0,4,9,11,4,NO_FAILURE
291,3,1,1,3,2,0,3,9,10,2,NO_FAILURE
292,2,2,4,3,2,0,3,10,13,4,NO_FAILURE
293,6,2,2,2,2,0,2,10,11,3,NO_FAILURE
294,5,2,3,4,2,0,4,10,12,3,NO_FAILURE
295,4,2,2,2,2,0,3,10,12,3,NO_FAILURE
296,4,1,2,1,2,0,2,7,8,3,NO_FAILURE
297,3,2,2,2,2,0,4,13,12,3,NO_FAILURE
298,4,1,1,2,2,0,5,8,7,3,NO_FAILURE
299,6,2,3,2,2,0,4,10,11,3,NO_FAILURE
300,5,2,2,2,2,0,4,10,12,2,NO_FAILURE
301,3,1,1,2,2,0,3,3,14,2,NO_FAILURE
302,2,1,2,2,2,0,3,3,14,2,NO_FAILURE
303,4,2,3,3,2,0,4,2,19,4,NO_FAILURE
304,3,2,2,3,2,0,4,2,21,3,NO_FAILURE
305,3,1,2,1,2,0,2,2,12,3,NO_FAILURE
306,3,1,1,2,2,0,3,3,15,2,NO_FAILURE
307,2,2,4,3,2,0,4,2,19,3,NO_FAILURE
308,3,1,1,2,2,0,3,4,13,3,NO_FAILURE
309,3,2,1,2,2,0,6,3,20,3,NO_FAILURE
310,4,2,1,2,2,0,6,2,19,3,NO_FAILURE
311,2,1,0,3,2,0,4,4,17,2,NO_FAILURE
312,2,1,1,1,2,0,3,3,12,2,NO_FAILURE
313,3,1,1,2,2,0,3,3,13,2,NO_FAILURE
314,3,1,1,1,2,0,1,3,14,2,NO_FAILURE
315,3,1,1,2,2,0,4,2,14,2,NO_FAILURE
316,5,2,5,3,2,0,4,2,16,4,NO_FAILURE
317,6,2,3,4,2,0,5,2,18,3,NO_FAILURE
318,10,2,4,2,2,0,3,2,12,3,NO_FAILURE
319,11,1,1,4,2,0,4,2,9,3,NO_FAILURE
320,10,2,4,2,2,0,2,2,13,3,NO_FAILURE
321,12,2,2,3,2,0,4,2,14,4,NO_FAILURE
322,11,2,3,2,2,0,2,3,12,3,NO_FAILURE
323,9,1,1,1,2,0,4,3,8,2,NO_FAILURE
324,11,2,3,4,2,0,6,2,12,4,NO_FAILURE
325,3,1,3,2,2,6,3,3,8,3,NO_FAILURE
326,2,1,1,1,2,5,3,3,8,2,NO_FAILURE
327,4,2,2,2,2,7,5,3,13,3,NO_FAILURE
328,4,2,4,4,2,8,4,2,11,4,NO_FAILURE
329,2,2,5,3,2,7,4,2,10,3,NO_FAILURE
330,1,1,1,1,2,5,4,3,8,2,NO_FAILURE
331,3,2,4,4,2,7,4,2,12,3,NO_FAILURE
332,3,2,3,3,2,8,5,3,11,3,NO_FAILURE
333,4,2,3,3,2,8,4,3,12,4,NO_FAILURE
334,4,2,3,2,2,6,3,3,12,3,NO_FAILURE
335,3,2,4,3,2,7,3,2,12,4,NO_FAILURE
336,4,2,5,3,2,7,2,3,11,3,NO_FAILURE
337,4,2,4,2,2,6,4,3,9,4,NO_FAILURE
338,6,2,3,3,2,7,2,3,10,3,NO_FAILURE
339,3,1,1,2,2,7,3,4,9,2,NO_FAILURE
340,5,2,1,3,2,6,3,3,11,4,NO_FAILURE
341,2,1,1,2,2,5,3,1,6,2,NO_FAILURE
342,5,2,2,3,2,6,3,3,12,3,NO_FAILURE
343,6,2,2,2,2,6,3,4,12,3,NO_FAILURE
344,7,1,2,3,2,0,5,3,10,3,NO_FAILURE
345,14,2,3,4,2,0,3,2,12,4,NO_FAILURE
346,10,2,6,4,2,0,5,2,11,4,NO_FAILURE
347,13,2,2,2,2,0,3,4,11,3,NO_FAILURE
348,10,2,2,4,2,0,4,2,15,3,NO_FAILURE
349,9,1,1,2,2,0,2,4,8,2,NO_FAILURE
350,4,2,1,2,2,0,6,10,11,4,NO_FAILURE
351,4,1,2,3,2,0,4,8,8,3,NO_FAILURE
352,10,2,2,2,2,0,2,4,15,4,NO_FAILURE
353,4,2,2,3,2,0,4,11,13,2,NO_FAILURE
354,4,2,3,3,2,0,4,11,12,4,NO_FAILURE
355,4,2,4,4,2,0,4,9,13,3,NO_FAILURE
356,12,2,2,2,2,0,5,4,12,2,NO_FAILURE
357,11,2,3,2,2,0,3,3,11,3,NO_FAILURE
358,9,2,5,2,2,0,3,2,9,2,NO_FAILURE
359,13,2,3,3,2,0,4,3,11,4,NO_FAILURE
360,7,0,0,2,2,0,1,2,5,2,NO_FAILURE
361,3,2,4,3,2,0,5,3,9,9,NO_FAILURE
362,4,2,5,3,2,0,2,3,12,9,NO_FAILURE
363,1,2,3,2,2,0,4,2,14,8,NO_FAILURE
364,3,2,3,3,2,0,4,3,9,10,NO_FAILURE
365,5,2,2,2,2,0,2,4,13,7,NO_FAILURE
366,4,2,3,3,2,0,4,2,11,9,NO_FAILURE
367,11,2,2,3,2,0,5,3,10,4,NO_FAILURE
368,11,2,3,2,2,0,5,3,9,3,NO_FAILURE
369,11,2,6,3,2,0,2,2,10,2,NO_FAILURE
370,9,2,1,3,2,0,6,2,11,3,NO_FAILURE
371,12,2,3,3,2,0,6,3,11,3,NO_FAILURE
372,11,2,3,3,2,0,2,2,13,3,NO_FAILURE
373,2,1,1,1,2,4,5,2,5,3,NO_FAILURE
374,4,2,3,2,2,5,3,2,12,4,NO_FAILURE
375,4,2,4,3,2,7,4,3,11,3,NO_FAILURE
376,5,2,5,3,2,6,2,3,11,3,NO_FAILURE
377,10,2,2,2,2,0,3,3,16,3,NO_FAILURE
378,4,2,3,2,2,6,4,2,12,3,NO_FAILURE
379,3,2,4,2,2,7,3,3,11,2,NO_FAILURE
380,3,1,2,2,2,7,3,3,10,2,NO_FAILURE
381,2,1,2,3,2,7,5,2,7,2,NO_FAILURE
382,11,2,2,2,2,0,3,3,14,4,NO_FAILURE
383,1,0,0,2,2,5,2,4,5,2,NO_FAILURE
384,4,1,1,2,2,6,3,4,9,2,NO_FAILURE
385,1,0,0,2,2,5,1,2,6,2,NO_FAILURE
386,12,2,3,3,2,0,4,2,9,3,NO_FAILURE
387,14,2,5,3,2,0,3,3,9,4,NO_FAILURE
388,11,2,3,2,2,0,4,3,9,2,NO_FAILURE
389,12,2,5,3,2,0,2,3,10,4,NO_FAILURE
390,11,2,4,2,2,0,4,2,12,2,NO_FAILURE
391,10,2,2,3,2,0,6,2,11,3,NO_FAILURE
392,10,2,5,2,2,0,4,2,10,4,NO_FAILURE
393,7,1,2,2,2,0,2,3,9,3,NO_FAILURE
394,13,2,2,3,2,0,2,3,11,2,NO_FAILURE
395,10,2,2,3,2,0,6,3,10,3,NO_FAILURE
396,7,1,2,2,2,0,3,2,8,3,NO_FAILURE
397,8,1,1,1,2,0,3,4,8,2,NO_FAILURE
398,9,1,1,2,2,0,4,3,7,2,NO_FAILURE
399,9,1,1,2,2,0,4,4,7,2,NO_FAILURE
400,3,2,1,3,2,0,5,9,9,3,NO_FAILURE
401,4,1,1,2,2,0,3,7,9,3,NO_FAILURE
402,11,2,2,4,2,0,6,3,9,2,NO_FAILURE
403,4,1,2,2,2,0,3,9,7,3,NO_FAILURE
404,4,1,1,1,2,0,3,8,8,2,NO_FAILURE
405,2,1,1,2,2,0,4,11,10,2,NO_FAILURE
406,3,1,3,2,2,0,3,8,8,2,NO_FAILURE
407,9,1,1,2,2,0,3,5,7,3,NO_FAILURE
408,3,1,4,3,2,0,3,9,8,3,NO_FAILURE
409,2,1,3,4,2,0,4,3,16,3,NO_FAILURE
410,5,1,1,4,2,0,3,2,15,2,NO_FAILURE
411,8,2,4,2,2,0,4,3,11,2,NO_FAILURE
412,9,2,2,3,2,0,5,3,9,2,NO_FAILURE
413,9,1,2,2,2,0,2,2,9,3,NO_FAILURE
414,8,1,1,2,2,0,3,4,10,2,NO_FAILURE
415,11,2,2,3,2,0,1,3,16,2,NO_FAILURE
416,9,2,3,2,2,0,2,3,12,4,NO_FAILURE
417,9,1,0,2,2,0,4,2,8,2,NO_FAILURE
418,8,1,1,2,2,0,4,4,9,2,NO_FAILURE
419,10,2,2,3,2,0,3,3,12,3,NO_FAILURE
420,10,1,1,4,2,0,4,3,9,2,NO_FAILURE
421,10,2,4,4,2,0,5,2,11,3,NO_FAILURE
422,7,2,3,3,2,0,5,2,12,3,NO_FAILURE
423,8,1,2,2,2,0,3,2,11,3,NO_FAILURE
424,9,1,1,3,2,0,4,4,9,2,NO_FAILURE
425,12,2,2,3,2,0,2,4,14,2,NO_FAILURE
426,9,2,4,2,2,0,4,2,10,4,NO_FAILURE
427,7,1,1,2,2,0,5,3,10,3,NO_FAILURE
428,10,2,4,3,2,0,4,2,12,4,NO_FAILURE
429,6,1,1,2,2,0,4,3,12,2,NO_FAILURE
430,8,1,2,3,2,0,4,3,9,3,NO_FAILURE
431,8,1,1,3,2,0,3,3,11,3,NO_FAILURE
432,7,1,2,3,2,0,4,2,11,3,NO_FAILURE
433,5,1,2,1,2,0,4,2,6,3,NO_FAILURE
434,12,2,2,3,2,0,6,2,10,3,NO_FAILURE
435,4,0,0,1,2,0,2,2,3,2,NO_FAILURE
436,6,1,2,2,2,0,3,2,10,3,NO_FAILURE
437,5,0,0,2,2,0,2,2,5,2,NO_FAILURE
438,8,1,1,2,2,0,2,5,9,3,NO_FAILURE
