,test_id,sequence,cluster_sequences_parent_service,app_error,assesrtion_error,final_status,Content,number_error_msgs,round
134.0,134.0,[25],['25glance'],"[not_applicable, not_applicable, not_applicable]","[NO_FAILURE, NO_FAILURE, NO_FAILURE]","[NO_FAILURE, NO_FAILURE, NO_FAILURE]","""""""POST  v2 images HTTP 1.1"""" 201 867 0.106176"" """"""PUT  v2 images d5c1fd61-f779-4fd0-8971-19303fa4df45 file HTTP 1.1"""" 204 213 0.341672"" """"""GET  v2 images d5c1fd61-f779-4fd0-8971-19303fa4df45 file HTTP 1.1"""" 200 12716291 2.638164""",0,1
135.0,135.0,[25],['25glance'],"[not_applicable, not_applicable]","[NO_FAILURE, NO_FAILURE]","[NO_FAILURE, NO_FAILURE]","""""""POST  v2 images HTTP 1.1"""" 201 867 0.265446"" """"""PUT  v2 images 1d2444a0-8f54-4dd4-8c8d-e8428b0f1b8b file HTTP 1.1"""" 204 213 0.388431""",0,1
136.0,136.0,[11],['11foreground'],"[ openstack server create , openstack server create , openstack server create , openstack server create , openstack server create , openstack server create , openstack server create , openstack server create , openstack server create , openstack server create , openstack server create , openstack server create , openstack server create , openstack server create , openstack server create , openstack server create , openstack server create , openstack server create , openstack server create , openstack server create , openstack server create , openstack server create , openstack server create , openstack server create , openstack server create , openstack server create , openstack server create ]","[NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE]","[FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE]",Workload started! Create image tempest-cirros-0.4.0-x86_64-1530084140... openstack image create --public --disk-format qcow2 --container-format bare --file cirros-0.4.0-x86_64-disk.img tempest-cirros-0.4.0-x86_64-1530084140 openstack image create --public --disk-format qcow2 --container-format bare --file cirros-0.4.0-x86_64-disk.img tempest-cirros-0.4.0-x86_64-1530084140 tempest-cirros-0.4.0-x86_64-1530084140 image is not in ACTIVE state (status 1)!...retry (#0) wait: 0 sec tempest-cirros-0.4.0-x86_64-1530084140 image is ACTIVE...great! Create keypair tempest-keypair-1530084140... openstack keypair create --public-key  tmp tempest-keypair-1530084140.key.pub tempest-keypair-1530084140 openstack keypair create --public-key  tmp tempest-keypair-1530084140.key.pub tempest-keypair-1530084140 tempest-keypair-1530084140 key-pair is not still created (status 1)!...retry (#0) wait: 0 sec tempest-keypair-1530084140 key-pair was created successfully...great! Create security group with SSH enabled openstack security group rule create --proto tcp --dst-port 22 tempest-SECURITY_GROUP_SAMPLE-1530084140 openstack security group rule create --proto tcp --dst-port 22 tempest-SECURITY_GROUP_SAMPLE-1530084140 tempest-keypair-1530084140 key-pair is not still created (status 1)!...retry (#0) wait: 0 sec tempest-SECURITY_GROUP_SAMPLE-1530084140 security group was created successfully...great! openstack network set --external public openstack network set --external public tempest-private-1530084140 private network is not in ACTIVE state (status unknown)!...retry (#0) wait: 0 sec tempest-private-1530084140 network is ACTIVE...great! Create subnet 'tempest-private-subnet-1530084140' on network 'tempest-private-1530084140' with range '11.143.1.0 24'... openstack subnet create --subnet-range 11.143.1.0 24 --network tempest-private-1530084140 --dns-nameserver 8.8.4.4 tempest-private-subnet-1530084140 openstack subnet create --subnet-range 11.143.1.0 24 --network tempest-private-1530084140 --dns-nameserver 8.8.4.4 tempest-private-subnet-1530084140 tempest-private-subnet-1530084140 private subnet is still not created (status 1)!...retry (#0) wait: 0 sec tempest-private-subnet-1530084140 private subnet is created...great! Create router tempest-router-1530084140 for instance tempest-INSTANCE_SAMPLE-1530084140... tempest-router-1530084140 router is not in ACTIVE state (status unknown)!...retry (#0) wait: 0 sec,0,1
137.0,137.0,[25],['25foreground'],"[not_applicable, not_applicable, not_applicable]","[NO_FAILURE, NO_FAILURE, NO_FAILURE]","[NO_FAILURE, NO_FAILURE, NO_FAILURE]",Workload started! Create image tempest-cirros-0.4.0-x86_64-1530221056... openstack image create --public --disk-format qcow2 --container-format bare --file cirros-0.4.0-x86_64-disk.img tempest-cirros-0.4.0-x86_64-1530221056,0,1
138.0,138.0,[22],['22foreground'],"[not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable]","[NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE]","[NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE]","Workload started! Create image tempest-cirros-0.4.0-x86_64-1530194386... openstack image create --public --disk-format qcow2 --container-format bare --file cirros-0.4.0-x86_64-disk.img tempest-cirros-0.4.0-x86_64-1530194386 openstack image create --public --disk-format qcow2 --container-format bare --file cirros-0.4.0-x86_64-disk.img tempest-cirros-0.4.0-x86_64-1530194386 tempest-cirros-0.4.0-x86_64-1530194386 image is not in ACTIVE state (status 1)!...retry (#0) wait: 0 sec tempest-cirros-0.4.0-x86_64-1530194386 image is ACTIVE...great! Create keypair tempest-keypair-1530194386... openstack keypair create --public-key  tmp tempest-keypair-1530194386.key.pub tempest-keypair-1530194386 openstack keypair create --public-key  tmp tempest-keypair-1530194386.key.pub tempest-keypair-1530194386 tempest-keypair-1530194386 key-pair is not still created (status 1)!...retry (#0) wait: 0 sec tempest-keypair-1530194386 key-pair was created successfully...great! Create security group with SSH enabled openstack security group rule create --proto tcp --dst-port 22 tempest-SECURITY_GROUP_SAMPLE-1530194386 openstack security group rule create --proto tcp --dst-port 22 tempest-SECURITY_GROUP_SAMPLE-1530194386 tempest-keypair-1530194386 key-pair is not still created (status 1)!...retry (#0) wait: 0 sec tempest-SECURITY_GROUP_SAMPLE-1530194386 security group was created successfully...great! openstack network set --external public openstack network set --external public tempest-private-1530194386 private network is not in ACTIVE state (status unknown)!...retry (#0) wait: 0 sec tempest-private-1530194386 network is ACTIVE...great! Create subnet 'tempest-private-subnet-1530194386' on network 'tempest-private-1530194386' with range '11.222.1.0 24'... openstack subnet create --subnet-range 11.222.1.0 24 --network tempest-private-1530194386 --dns-nameserver 8.8.4.4 tempest-private-subnet-1530194386 openstack subnet create --subnet-range 11.222.1.0 24 --network tempest-private-1530194386 --dns-nameserver 8.8.4.4 tempest-private-subnet-1530194386 tempest-private-subnet-1530194386 private subnet is still not created (status 1)!...retry (#0) wait: 0 sec tempest-private-subnet-1530194386 private subnet is created...great! Create router tempest-router-1530194386 for instance tempest-INSTANCE_SAMPLE-1530194386... tempest-router-1530194386 router is not in ACTIVE state (status unknown)!...retry (#0) wait: 0 sec tempest-router-1530194386 router is ACTIVE...great! tempest-router-1530194386 router has still no interfaces on tempest-private-subnet-1530194386 (status 1)!...retry (#0) wait: 0 sec openstack router add subnet tempest-router-1530194386 tempest-private-subnet-1530194386 openstack router add subnet tempest-router-1530194386 tempest-private-subnet-1530194386 was added to tempest-router-1530194386...great! neutron router-gateway-set tempest-router-1530194386 public neutron CLI is deprecated and will be removed in the future. Use openstack CLI instead. neutron router-gateway-set tempest-router-1530194386 public Create instance tempest-INSTANCE_SAMPLE-1530194386 and boot it. None Details: ........image name = tempest-cirros-0.4.0-x86_64-1530194386 ........network = tempest-private-1530194386 ........security group = tempest-SECURITY_GROUP_SAMPLE-1530194386 ........key name = tempest-keypair-1530194386 openstack server create --flavor m1.tiny --image tempest-cirros-0.4.0-x86_64-1530194386 --nic net-id=tempest-private-1530194386 --security-group tempest-SECURITY_GROUP_SAMPLE-1530194386 --key-name tempest-keypair-1530194386 tempest-INSTANCE_SAMPLE-1530194386 openstack server create --flavor m1.tiny --image tempest-cirros-0.4.0-x86_64-1530194386 --nic net-id=tempest-private-1530194386 --security-group tempest-SECURITY_GROUP_SAMPLE-1530194386 --key-name tempest-keypair-1530194386 tempest-INSTANCE_SAMPLE-1530194386 tempest-INSTANCE_SAMPLE-1530194386 instance is not in ACTIVE state (status unknown)!...retry (#0) wait: 0 sec tempest-INSTANCE_SAMPLE-1530194386 instance is not in ACTIVE state (status UP tempest-INSTANCE_SAMPLE-1530194386 instance is ACTIVE...great! Create floating ip for instance tempest-INSTANCE_SAMPLE-1530194386... openstack floating ip create --project tempest-project-1530194386 public openstack floating ip create --project tempest-project-1530194386 public Created floating IP 172.24.4.6...great! Add floating IP 172.24.4.6 to instance tempest-INSTANCE_SAMPLE-1530194386... openstack ip floating add 172.24.4.6 tempest-INSTANCE_SAMPLE-1530194386 ""This command has been deprecated. Please use """"server add floating ip"""" instead."" openstack ip floating add 172.24.4.6 tempest-INSTANCE_SAMPLE-1530194386 Added floating IP 172.24.4.6 to instance tempest-INSTANCE_SAMPLE-1530194386...great! List all instances on tenants... nova list nova list Create volume tempest-VOLUME_SAMPLE-1530194386... openstack volume create --image tempest-cirros-0.4.0-x86_64-1530194386 --size 1 --availability-zone nova tempest-VOLUME_SAMPLE-1530194386 openstack volume create --image tempest-cirros-0.4.0-x86_64-1530194386 --size 1 --availability-zone nova tempest-VOLUME_SAMPLE-1530194386 tempest-VOLUME_SAMPLE-1530194386 volume status is 'available'...great! Show volume list...",0,1
139.0,139.0,[25],['25foreground'],"[not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable]","[NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE]","[NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE]",Workload started! Create image tempest-cirros-0.4.0-x86_64-1530196723... openstack image create --public --disk-format qcow2 --container-format bare --file cirros-0.4.0-x86_64-disk.img tempest-cirros-0.4.0-x86_64-1530196723 openstack image create --public --disk-format qcow2 --container-format bare --file cirros-0.4.0-x86_64-disk.img tempest-cirros-0.4.0-x86_64-1530196723 tempest-cirros-0.4.0-x86_64-1530196723 image is not in ACTIVE state (status 1)!...retry (#0) wait: 0 sec tempest-cirros-0.4.0-x86_64-1530196723 image is ACTIVE...great! Create keypair tempest-keypair-1530196723... openstack keypair create --public-key  tmp tempest-keypair-1530196723.key.pub tempest-keypair-1530196723 openstack keypair create --public-key  tmp tempest-keypair-1530196723.key.pub tempest-keypair-1530196723 tempest-keypair-1530196723 key-pair is not still created (status 1)!...retry (#0) wait: 0 sec,0,1
140.0,140.0,[18],['18glance'],"[not_applicable, not_applicable]","[NO_FAILURE, NO_FAILURE]","[NO_FAILURE, NO_FAILURE]","""""""POST  v2 images HTTP 1.1"""" 201 867 0.353183"" """"""PUT  v2 images 80a18a5e-00e8-4f37-a3ce-a91108dcc357 file HTTP 1.1"""" 204 213 0.385004""",0,1
141.0,141.0,[25],['25foreground'],"[not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable]","[NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE]","[NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE]",Workload started! Create image tempest-cirros-0.4.0-x86_64-1530229575... openstack image create --public --disk-format qcow2 --container-format bare --file cirros-0.4.0-x86_64-disk.img tempest-cirros-0.4.0-x86_64-1530229575 openstack image create --public --disk-format qcow2 --container-format bare --file cirros-0.4.0-x86_64-disk.img tempest-cirros-0.4.0-x86_64-1530229575 tempest-cirros-0.4.0-x86_64-1530229575 image is not in ACTIVE state (status 1)!...retry (#0) wait: 0 sec tempest-cirros-0.4.0-x86_64-1530229575 image is ACTIVE...great! Create keypair tempest-keypair-1530229575... openstack keypair create --public-key  tmp tempest-keypair-1530229575.key.pub tempest-keypair-1530229575 openstack keypair create --public-key  tmp tempest-keypair-1530229575.key.pub tempest-keypair-1530229575 tempest-keypair-1530229575 key-pair is not still created (status 1)!...retry (#0) wait: 0 sec tempest-keypair-1530229575 key-pair was created successfully...great! Create security group with SSH enabled openstack security group rule create --proto tcp --dst-port 22 tempest-SECURITY_GROUP_SAMPLE-1530229575 openstack security group rule create --proto tcp --dst-port 22 tempest-SECURITY_GROUP_SAMPLE-1530229575 tempest-keypair-1530229575 key-pair is not still created (status 1)!...retry (#0) wait: 0 sec tempest-SECURITY_GROUP_SAMPLE-1530229575 security group was created successfully...great! openstack network set --external public openstack network set --external public tempest-private-1530229575 private network is not in ACTIVE state (status unknown)!...retry (#0) wait: 0 sec tempest-private-1530229575 network is ACTIVE...great! Create subnet 'tempest-private-subnet-1530229575' on network 'tempest-private-1530229575' with range '11.49.1.0 24'... openstack subnet create --subnet-range 11.49.1.0 24 --network tempest-private-1530229575 --dns-nameserver 8.8.4.4 tempest-private-subnet-1530229575 openstack subnet create --subnet-range 11.49.1.0 24 --network tempest-private-1530229575 --dns-nameserver 8.8.4.4 tempest-private-subnet-1530229575 tempest-private-subnet-1530229575 private subnet is still not created (status 1)!...retry (#0) wait: 0 sec tempest-private-subnet-1530229575 private subnet is created...great! Create router tempest-router-1530229575 for instance tempest-INSTANCE_SAMPLE-1530229575... tempest-router-1530229575 router is not in ACTIVE state (status unknown)!...retry (#0) wait: 0 sec tempest-router-1530229575 router is ACTIVE...great! tempest-router-1530229575 router has still no interfaces on tempest-private-subnet-1530229575 (status 1)!...retry (#0) wait: 0 sec openstack router add subnet tempest-router-1530229575 tempest-private-subnet-1530229575 openstack router add subnet tempest-router-1530229575 tempest-private-subnet-1530229575 was added to tempest-router-1530229575...great! neutron router-gateway-set tempest-router-1530229575 public neutron CLI is deprecated and will be removed in the future. Use openstack CLI instead. neutron router-gateway-set tempest-router-1530229575 public Create instance tempest-INSTANCE_SAMPLE-1530229575 and boot it. None Details: ........image name = tempest-cirros-0.4.0-x86_64-1530229575 ........network = tempest-private-1530229575 ........security group = tempest-SECURITY_GROUP_SAMPLE-1530229575 ........key name = tempest-keypair-1530229575 openstack server create --flavor m1.tiny --image tempest-cirros-0.4.0-x86_64-1530229575 --nic net-id=tempest-private-1530229575 --security-group tempest-SECURITY_GROUP_SAMPLE-1530229575 --key-name tempest-keypair-1530229575 tempest-INSTANCE_SAMPLE-1530229575 openstack server create --flavor m1.tiny --image tempest-cirros-0.4.0-x86_64-1530229575 --nic net-id=tempest-private-1530229575 --security-group tempest-SECURITY_GROUP_SAMPLE-1530229575 --key-name tempest-keypair-1530229575 tempest-INSTANCE_SAMPLE-1530229575 tempest-INSTANCE_SAMPLE-1530229575 instance is not in ACTIVE state (status unknown)!...retry (#0) wait: 0 sec tempest-INSTANCE_SAMPLE-1530229575 instance is not in ACTIVE state (status UP,0,1
142.0,142.0,[25],['25keystone'],"[not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable]","[FAILURE_SSH, FAILURE_SSH, FAILURE_SSH, FAILURE_SSH, FAILURE_SSH, FAILURE_SSH, FAILURE_SSH, FAILURE_SSH, FAILURE_SSH, FAILURE_SSH, FAILURE_SSH, FAILURE_SSH, FAILURE_SSH, FAILURE_SSH, FAILURE_SSH]","[FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE]",GET  10.0.20.21:35357  GET  10.0.20.21:35357  GET  10.0.20.21:35357  GET  10.0.20.21:35357  GET  10.0.20.21:35357  GET  10.0.20.21:35357  GET  10.0.20.21:35357  GET  10.0.20.21:35357  GET  10.0.20.21:35357  GET  10.0.20.21:35357  GET  10.0.20.21:35357  GET  10.0.20.21:35357  GET  10.0.20.21:35357  GET  10.0.20.21:35357  GET  10.0.20.21:35357 ,0,1
143.0,143.0,[18],['18foreground'],"[not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable]","[FAILURE_SSH, FAILURE_SSH, FAILURE_SSH, FAILURE_SSH, FAILURE_SSH, FAILURE_SSH, FAILURE_SSH, FAILURE_SSH, FAILURE_SSH, FAILURE_SSH]","[FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE]",Workload started! Create image tempest-cirros-0.4.0-x86_64-1530234223... openstack image create --public --disk-format qcow2 --container-format bare --file cirros-0.4.0-x86_64-disk.img tempest-cirros-0.4.0-x86_64-1530234223 openstack image create --public --disk-format qcow2 --container-format bare --file cirros-0.4.0-x86_64-disk.img tempest-cirros-0.4.0-x86_64-1530234223 tempest-cirros-0.4.0-x86_64-1530234223 image is not in ACTIVE state (status 1)!...retry (#0) wait: 0 sec tempest-cirros-0.4.0-x86_64-1530234223 image is ACTIVE...great! Create keypair tempest-keypair-1530234223... openstack keypair create --public-key  tmp tempest-keypair-1530234223.key.pub tempest-keypair-1530234223 openstack keypair create --public-key  tmp tempest-keypair-1530234223.key.pub tempest-keypair-1530234223 tempest-keypair-1530234223 key-pair is not still created (status 1)!...retry (#0) wait: 0 sec,0,1
144.0,144.0,[11],['11foreground'],"[ openstack server create , openstack server create , openstack server create , openstack server create , openstack server create , openstack server create , openstack server create , openstack server create , openstack server create , openstack server create , openstack server create , openstack server create , openstack server create ]","[NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE]","[FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE]",Workload started! Create image tempest-cirros-0.4.0-x86_64-1530086011... openstack image create --public --disk-format qcow2 --container-format bare --file cirros-0.4.0-x86_64-disk.img tempest-cirros-0.4.0-x86_64-1530086011 openstack image create --public --disk-format qcow2 --container-format bare --file cirros-0.4.0-x86_64-disk.img tempest-cirros-0.4.0-x86_64-1530086011 tempest-cirros-0.4.0-x86_64-1530086011 image is not in ACTIVE state (status 1)!...retry (#0) wait: 0 sec tempest-cirros-0.4.0-x86_64-1530086011 image is ACTIVE...great! Create keypair tempest-keypair-1530086011... openstack keypair create --public-key  tmp tempest-keypair-1530086011.key.pub tempest-keypair-1530086011 openstack keypair create --public-key  tmp tempest-keypair-1530086011.key.pub tempest-keypair-1530086011 tempest-keypair-1530086011 key-pair is not still created (status 1)!...retry (#0) wait: 0 sec tempest-keypair-1530086011 key-pair was created successfully...great! Create security group with SSH enabled openstack security group rule create --proto tcp --dst-port 22 tempest-SECURITY_GROUP_SAMPLE-1530086011,0,1
